gene_id	limma_logFC	limma_AveExpr	limma_t	limma_pvalue	limma_padj	limma_B	ensembl_gene_id	limma_significant
ENSG00000183691	-2.300427565905199	0.7937686308319032	-5.032860079446743	1.4246823081470834e-5	1.9281695112880682e-4	3.0730226923822883	ENSG00000183691	downregulated
ENSG00000264548	1.3797446129508	-0.6047881198678106	5.017075911516834	1.452650033947148e-5	1.9574806278471128e-4	3.077409551649162	ENSG00000264548	upregulated
ENSG00000177469	1.5847384543717729	-0.16822481995622104	5.014539051338253	1.4639221679591352e-5	1.9692482935859657e-4	3.0681829681888626	ENSG00000177469	upregulated
ENSG00000102384	1.5013118194866542	-0.576633551580793	5.0141940866655	1.4654616559400356e-5	1.9696109431221797e-4	3.069371766513858	ENSG00000102384	upregulated
ENSG00000180479	-1.0229601658795744	2.4364503021148876	-5.013476507137966	1.4686691787872885e-5	1.9722128972286446e-4	2.88642034809169	ENSG00000180479	downregulated
ENSG00000157429	-1.0174946260086228	0.4694417307042008	-5.005481216175277	1.504882409211859e-5	2.006941200935162e-4	3.0241517862757945	ENSG00000157429	downregulated
ENSG00000277856	4.242441044918152	2.7108672984162854	5.017389719900657	1.534419826838641e-5	2.0323528193225726e-4	2.882965910435364	ENSG00000277856	upregulated
ENSG00000105173	1.0620750951697406	2.758310470516492	4.998629562816526	1.536620116582956e-5	2.0335305467748848e-4	2.7956807417734195	ENSG00000105173	upregulated
ENSG00000163736	1.7559355566084838	7.527116692390755	5.009606698033748	1.5708752176364812e-5	2.0647690360628664e-4	2.397260234290423	ENSG00000163736	upregulated
ENSG00000211713	-1.465937817866731	-0.4012208013480532	-4.986827647456847	1.5928534580863728e-5	2.081457697054409e-4	2.9921149258471864	ENSG00000211713	downregulated
ENSG00000086506	2.4567788178239827	-0.41425326300501175	4.978986980614101	1.6652714365090945e-5	2.1649924543383112e-4	2.953091832059636	ENSG00000086506	upregulated
ENSG00000253234	2.1156293585605255	0.5153239233435306	4.977125906802937	1.6752883720028434e-5	2.175742534241889e-4	2.925494217699393	ENSG00000253234	upregulated
ENSG00000275832	1.10422874049121	-0.3102645178018392	4.963918273419028	1.707905602989169e-5	2.203795000196507e-4	2.9259540287083707	ENSG00000275832	upregulated
ENSG00000211639	2.90259265495786	1.859060784841659	4.981549319212482	1.7095820791355006e-5	2.2041245259677152e-4	2.828276793713174	ENSG00000211639	upregulated
ENSG00000142089	1.7284107079655255	8.043708622708394	4.967598248804316	1.7830131055163446e-5	2.2798461060641803e-4	2.289769871578625	ENSG00000142089	upregulated
ENSG00000147889	1.0929588261188137	1.212186233970742	4.946119586193329	1.80295061515937e-5	2.2961048639143537e-4	2.805090822278312	ENSG00000147889	upregulated
ENSG00000158373	1.5275558018238131	1.657264855009638	4.946189398888916	1.826399990969651e-5	2.3162276255060741e-4	2.7595468114990425	ENSG00000158373	upregulated
ENSG00000105610	2.4273205162683764	0.6660065828446051	4.945098307230812	1.861853004824371e-5	2.3564213909060217e-4	2.821813193681697	ENSG00000105610	upregulated
ENSG00000169385	1.90623110072388	5.556484020347792	4.953098543402515	1.8626515959063717e-5	2.3564213909060217e-4	2.2645903304979296	ENSG00000169385	upregulated
ENSG00000242472	1.7071495269960861	0.1030122344726305	4.929442429417948	1.896760440470114e-5	2.388305065825918e-4	2.819921706522382	ENSG00000242472	upregulated
ENSG00000211933	2.397453831959691	2.8621392501563707	4.942215807585992	1.9247348931990097e-5	2.409413897781811e-4	2.5937017170761347	ENSG00000211933	upregulated
ENSG00000188596	1.383295450650872	-0.4598806526154408	4.9231326492606415	1.9335019014969348e-5	2.416248299687609e-4	2.8122310843021987	ENSG00000188596	upregulated
ENSG00000276550	-1.2355055074088033	4.104935265780508	-4.929783581495465	1.950151251787249e-5	2.431418481930887e-4	2.3866704910369876	ENSG00000276550	downregulated
ENSG00000204420	1.8870586569522025	5.525146432062199	4.936607226486663	1.9575281092899772e-5	2.438247131094451e-4	2.217135914012461	ENSG00000204420	upregulated
ENSG00000275210	1.4580524668800052	-0.2385775444180854	4.91798074297009	1.9640238316643483e-5	2.438247131094451e-4	2.7950691420556852	ENSG00000275210	upregulated
ENSG00000188158	-1.2122677297071915	1.1393239771171737	-4.911246718308172	2.0046402642509714e-5	2.4735060062476186e-4	2.7143356636150946	ENSG00000188158	downregulated
ENSG00000279278	-1.6175251061270053	-0.3011112671494823	-4.906351082560727	2.0346901748294844e-5	2.4966807445890273e-4	2.764154645304254	ENSG00000279278	downregulated
