ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0140014	mitotic nuclear division	240	0.7328290613775282	2.085444105378555	1e-10	7.49718309859155e-9	6.628613787991105e-9	1005	tags=26%, list=7%, signal=24%	5347/11065/22974/9212/991/9088/4288/332/24137/699/81620/9700/4605/11130/157313/113130/9787/64151/701/11004/3833/9319/23397/54443/147841/3832/891/83540/9928/1063/55143/4751/7272/983/57082/146909/1062/10403/1111/9493/1950/10615/4085/6790/54998/26271/7283/858/1104/26073/51529/10459/27243/5902/5901/10051/8877/10592/2491/25906/128866/56647
GO:0000819	sister chromatid segregation	209	0.7289392364362586	2.0669887259016058	1e-10	7.49718309859155e-9	6.628613787991105e-9	1005	tags=25%, list=7%, signal=24%	5347/11065/22974/9212/991/332/24137/699/81620/9700/7153/4605/11130/113130/9787/64151/701/11004/990/3833/9319/23397/147841/3832/891/83540/9928/1063/55143/4751/7272/983/57082/146909/1062/10403/9493/10615/4085/26271/7283/116028/26073/51529/10459/27243/5901/10051/10592/2491/25906/128866/56647
GO:0009060	aerobic respiration	177	0.730708805164881	2.0562701782767174	1e-10	7.49718309859155e-9	6.628613787991105e-9	2366	tags=55%, list=17%, signal=46%	891/983/7388/30968/9377/11315/1337/4715/4728/1351/113115/6622/29796/51142/4694/54539/4713/4696/1329/521/4726/374291/27089/4710/1347/522/4706/10476/513/3418/6472/1345/4709/539/4722/1327/1340/7386/4697/9551/440567/514/4716/4700/1349/4712/29103/4695/6390/509/55967/1537/84300/4191/1350/4717/4704/4707/4702/498/7384/2271/7381/10975/6834/2647/1716/4714/4708/5160/4513/9555/506/4729/4514/158/65990/51103/4190/515/10632/8802/4725/4724/3420/9167/27069/790955/7415/387/4718/92259/205/3421/6391/126328/388753
GO:0007093	mitotic cell cycle checkpoint signaling	134	0.7364226801201375	2.045359761095011	1e-10	7.49718309859155e-9	6.628613787991105e-9	677	tags=23%, list=5%, signal=22%	5347/9212/991/332/51514/699/11130/51512/63967/701/990/9319/147841/891/83540/1063/55143/90381/7272/983/4998/57082/10403/1111/4085/79035/672/29980/10459/51065/146956
GO:0098813	nuclear chromosome segregation	264	0.7133659894308024	2.03995947015741	1e-10	7.49718309859155e-9	6.628613787991105e-9	1005	tags=23%, list=7%, signal=21%	5347/11065/22974/9212/991/332/24137/259266/699/9133/81620/9700/7153/4605/11130/113130/9787/64151/701/11004/990/3833/9319/23397/147841/3832/891/83540/9928/1063/55143/4751/7272/983/57082/146909/1062/10403/9493/10615/151648/9232/4085/6790/26271/7283/116028/26073/51529/10459/9134/27243/5901/898/10051/10592/2491/25906/128866/56647
GO:0000280	nuclear division	338	0.7063729122723791	2.030195599619323	1e-10	7.49718309859155e-9	6.628613787991105e-9	1248	tags=25%, list=9%, signal=23%	5347/11065/22974/9212/991/9088/4288/332/24137/259266/699/9133/81620/9700/7153/4605/11130/157313/113130/9787/64151/701/11004/3833/8438/9319/23397/54443/147841/5888/3832/891/83540/9928/1063/55143/4751/7272/983/57082/146909/1062/10403/1111/9493/1950/10615/151648/9232/4085/6790/10635/54998/26271/7283/858/675/1104/26073/51529/10459/146956/9134/27243/5902/811/5901/898/10051/8877/10592/2175/2491/25906/128866/56647/201254/11331/387893/2801/54892/998/5719
GO:0009142	nucleoside triphosphate biosynthetic process	115	0.7348609087142399	2.014165353264736	1e-10	7.49718309859155e-9	6.628613787991105e-9	2340	tags=54%, list=17%, signal=45%	7298/4830/30968/4715/4728/1841/4694/54539/4713/4696/516/521/4726/374291/518/4710/522/4706/10476/513/4709/84833/539/4722/9556/9551/514/4716/4700/4712/4695/6390/509/55967/4717/2023/4704/4707/4702/498/4833/226/4714/4708/506/4729/7114/517/65990/515/10632/4725/4724/7371/790955/7415/9605/4718/318/205/6391/126328
GO:0048285	organelle fission	380	0.6955690332643307	2.0019773117248127	1e-10	7.49718309859155e-9	6.628613787991105e-9	1248	tags=23%, list=9%, signal=22%	5347/11065/22974/9212/991/9088/4288/332/24137/259266/699/9133/81620/9700/7153/4605/11130/157313/113130/9787/64151/701/11004/3833/8438/9319/23397/54443/147841/5888/3832/891/83540/9928/1063/55143/4751/7272/983/57082/146909/1062/10403/1111/9493/1950/10615/113115/151648/9232/4085/5468/6790/10635/54998/26271/7283/858/675/1104/26073/51529/10459/146956/9134/27243/5902/811/5901/898/10051/8877/10592/2175/2491/10005/25906/128866/56647/201254/11331/387893/2801/64423/56947/54892/998/5719
GO:1903046	meiotic cell cycle process	135	0.7193726402326898	1.999899362556967	1e-10	7.49718309859155e-9	6.628613787991105e-9	892	tags=21%, list=6%, signal=20%	5347/991/9088/259266/9133/9700/7153/8438/9319/23397/993/5888/83540/7272/10403/151648/9232/6790/10635/26271/7283/675/146956/9134/811/898/10051/10592/2175
GO:0002440	production of molecular mediator of immune response	239	0.6968822602398888	1.9839879703233156	1e-10	7.49718309859155e-9	6.628613787991105e-9	1347	tags=26%, list=10%, signal=24%	51237/28913/10721/28773/28815/28793/28908/28937/28813/9156/28299/28876/28791/28784/28907/28825/28816/28775/28820/28940/28778/28822/28803/28938/28781/28919/28799/28923/28823/28783/51465/28942/28874/28935/28797/28796/28943/28882/28785/28804/28912/28817/28904/10459/28774/28826/28776/28941/1991/28814/3805/28902/2867/79004/2821/79915/2048/11331/28920/11006/7468/7855/28772
GO:1902850	microtubule cytoskeleton organization involved in mitosis	146	0.7103646421462866	1.9789610522850338	1e-10	7.49718309859155e-9	6.628613787991105e-9	555	tags=21%, list=4%, signal=20%	5347/22974/9212/991/332/24137/9700/4605/1058/9787/3833/3832/891/83540/55143/4751/7272/983/1062/10403/6491/9493/284403/4085/6790/3925/7283/1104/89958/26073
GO:0045333	cellular respiration	213	0.6953530465883188	1.967933696516012	1e-10	7.49718309859155e-9	6.628613787991105e-9	2414	tags=50%, list=17%, signal=42%	891/983/7388/30968/9377/11315/1337/4715/4728/1351/113115/6622/29796/51142/4694/54539/4713/4696/1329/521/2109/4726/374291/27089/4710/1347/522/84269/4706/10476/513/3418/6472/1345/4709/2108/539/4722/1327/1340/7386/4697/84883/9551/440567/514/4716/4700/1349/4712/29103/4695/6390/509/55967/1537/84300/4191/1350/4717/4704/4707/4702/498/7384/2271/7381/10975/6834/2647/1716/4714/4708/5160/4513/9555/506/4729/4514/27166/158/65990/51103/4190/515/10632/8802/4725/4724/3420/9167/27069/790955/7415/387/4718/3588/92259/205/3421/6391/126328/388753/2629/2110/400916
GO:0000075	cell cycle checkpoint signaling	182	0.6981061607229375	1.9662025271683872	1e-10	7.49718309859155e-9	6.628613787991105e-9	722	tags=21%, list=5%, signal=20%	5347/9212/991/332/51514/699/81620/11130/51512/63967/701/8318/990/9319/147841/5888/891/83540/1063/55143/90381/7272/983/4998/1869/57082/10403/1111/4085/79035/675/672/29980/8914/10459/51065/146956/79968
GO:0007059	chromosome segregation	366	0.6829220543239549	1.9633095993041423	1e-10	7.49718309859155e-9	6.628613787991105e-9	1005	tags=22%, list=7%, signal=21%	5347/11065/22974/9212/991/55355/4288/332/24137/259266/699/9133/81620/9700/7153/4605/11130/157313/113130/9787/64151/701/11004/990/3833/9319/23397/147841/220134/221150/3832/157570/891/83540/9928/1063/55143/4751/7272/983/57082/146909/1062/10403/387103/79682/6491/9493/10615/151648/9232/4085/6790/26271/7283/79172/672/203068/79019/1104/116028/26073/51529/55839/10459/9134/27243/51647/7150/5901/81027/898/10051/9611/115106/10592/54930/2491/25906/128866/56647
GO:0090068	positive regulation of cell cycle process	198	0.6880631874239307	1.9468798148612538	1e-10	7.49718309859155e-9	6.628613787991105e-9	1461	tags=25%, list=11%, signal=23%	6241/11065/9212/991/332/51514/699/9700/113130/9787/64151/990/23397/993/891/9928/55143/983/10403/10733/144455/6491/2237/9493/1950/79733/10615/7027/4085/6790/10635/11113/26271/2146/26073/51529/5902/10051/8877/10592/79915/11331/54892/998/5087/6240/51692/29127/65992/29899
GO:1901991	negative regulation of mitotic cell cycle phase transition	165	0.6851994201635355	1.9272536286065882	1e-10	7.49718309859155e-9	6.628613787991105e-9	695	tags=21%, list=5%, signal=20%	5347/9212/991/332/51514/699/11130/51512/63967/701/990/9319/147841/891/83540/1063/55143/90381/7272/983/4998/57082/10403/144455/1111/4085/79035/26271/672/2146/29980/10459/51065/8328
GO:0007051	spindle organization	183	0.6816830355036253	1.9199461324050129	1e-10	7.49718309859155e-9	6.628613787991105e-9	1005	tags=22%, list=7%, signal=21%	5347/22974/9212/991/332/24137/259266/9133/9700/4605/9787/3833/3832/891/83540/55143/4751/7272/1062/10403/6491/9493/284403/10615/6790/3925/26271/7283/79000/203068/1104/26073/27243/5901/81027/9611/115106/54930/128866/56647
GO:0051321	meiotic cell cycle	186	0.6784924607724777	1.911046346721618	1e-10	7.49718309859155e-9	6.628613787991105e-9	1576	tags=25%, list=11%, signal=22%	5347/991/9088/259266/9133/9700/7153/8438/9319/23397/993/5888/83540/9156/4751/7272/10403/151648/9232/6790/10635/26271/7283/675/51529/146956/9134/811/898/10051/10592/2175/25906/151246/201254/1017/2801/7516/116369/5719/5932/9985/2827/27229/83990/29893
GO:0045787	positive regulation of cell cycle	252	0.6617720768781287	1.8848747841934756	1e-10	7.49718309859155e-9	6.628613787991105e-9	1461	tags=23%, list=11%, signal=21%	6241/11065/9212/991/332/51514/699/9700/113130/9787/64151/990/23397/993/891/9928/55143/983/10403/10733/144455/6491/2237/1111/9493/1950/79733/10615/7027/4085/6790/10635/11113/26271/675/2146/26073/51529/5886/5902/811/10051/8877/10592/6886/79915/6532/11331/54892/5641/998/5087/6240/51692/29127/65992/1977/29899
GO:0015980	energy derivation by oxidation of organic compounds	277	0.6448846570453135	1.8448766324894226	1e-10	7.49718309859155e-9	6.628613787991105e-9	2414	tags=40%, list=17%, signal=34%	891/983/7388/30968/9377/11315/1337/4715/4728/1351/113115/6622/29796/51142/4694/54539/4713/4696/1329/521/2109/4726/374291/27089/4710/1347/522/84269/4706/10476/513/55829/3418/6472/1345/4709/2108/539/4722/1327/1340/7386/4697/84883/9551/440567/514/4716/4700/1349/4712/29103/4695/6390/509/55967/1537/84300/37/4191/1350/4717/4704/4707/5499/4702/498/7384/2271/7381/10975/112464/6834/2647/1716/4714/4708/5160/4513/9555/506/4729/4514/27166/158/65990/51103/4190/515/10632/8802/4725/4724/3420/9167/27069/790955/7415/387/4718/3588/92259/205/3421/5501/6391/126328/388753/2629/3953/2110/400916
GO:1901990	regulation of mitotic cell cycle phase transition	295	0.6423146447513587	1.8409188705569008	1e-10	7.49718309859155e-9	6.628613787991105e-9	1483	tags=23%, list=11%, signal=21%	6241/5347/11065/9212/991/332/51514/699/9700/11130/51512/113130/63967/9787/701/990/9319/993/54443/147841/891/83540/9928/1063/55143/90381/7272/983/4998/1869/1031/57082/1062/10403/144455/6491/1111/7027/4085/6790/79035/26271/672/2146/51529/29980/10459/51065/8328/1029/3398/1032/25906/10217/79915/1017/11331/5932/5087/57099/6240/60/51692/2273/25793/79184/51499/5721
GO:0006260	DNA replication	258	0.6454114936042238	1.8403119157230812	1e-10	7.49718309859155e-9	6.628613787991105e-9	1327	tags=26%, list=10%, signal=24%	7083/6241/890/51514/81620/55388/51659/8318/990/5888/10721/157570/9768/4171/90381/983/4998/3159/9401/80119/4173/144455/2237/1111/5427/1950/79733/4175/26271/374393/79075/675/672/56953/4176/23594/10293/10189/10036/1854/116028/29980/9837/8914/10856/146956/5111/4174/9134/51053/8208/7150/8607/898/150/79915/222229/201254/1017/5984/51550/1763/6742/5932/54962/6240
GO:0010948	negative regulation of cell cycle process	268	0.6429559094669902	1.8398367239371187	1e-10	7.49718309859155e-9	6.628613787991105e-9	728	tags=18%, list=5%, signal=18%	5347/9212/991/9088/332/51514/699/81620/9700/11130/51512/63967/701/8318/990/9319/147841/5888/891/83540/1063/55143/4751/90381/7272/983/4998/1869/57082/10403/144455/1111/79733/4085/79035/54998/26271/675/672/2146/29980/8914/899/10459/51065/146956/8328/79968/27243
GO:1901293	nucleoside phosphate biosynthetic process	245	0.6429428097985818	1.8312820670983438	1e-10	7.49718309859155e-9	6.628613787991105e-9	2246	tags=36%, list=16%, signal=31%	7083/6241/7298/11332/4830/30968/4715/4728/1841/6622/4694/54539/4713/4696/516/521/4726/374291/79993/518/4710/1854/38/522/4706/10476/513/4709/7378/84833/539/4722/9556/9551/514/4716/4700/6470/4522/4712/441024/4695/2617/6390/509/55967/3251/4717/2987/2023/4704/11001/4707/4702/2983/498/10606/4833/6240/109/6576/1716/226/4714/4708/5160/506/4729/7114/517/2982/158/65990/8833/2180/515/10632/4725/4724/7371/790955/7415/9605/112/4718/318/205/100
GO:1901988	negative regulation of cell cycle phase transition	236	0.6419333990950842	1.825356252396708	1e-10	7.49718309859155e-9	6.628613787991105e-9	722	tags=18%, list=5%, signal=18%	5347/9212/991/9088/332/51514/699/81620/11130/51512/63967/701/8318/990/9319/147841/5888/891/83540/1063/55143/90381/7272/983/4998/1869/57082/10403/144455/1111/4085/79035/26271/675/672/2146/29980/8914/10459/51065/146956/8328/79968
GO:0044772	mitotic cell cycle phase transition	393	0.6233961903646963	1.7954767941373806	1e-10	7.49718309859155e-9	6.628613787991105e-9	990	tags=18%, list=7%, signal=17%	6241/5347/11065/890/2305/9212/991/9088/332/51514/699/9133/9700/11130/51512/113130/63967/9787/701/990/9319/1870/993/54443/147841/1033/9833/891/83540/9928/1063/55143/90381/7272/983/4998/1869/1031/57082/1062/10403/144455/6491/1111/7027/4085/6790/79035/26271/672/808/2146/1104/51529/29980/899/10459/51065/8328/9134/1020/27243/1029/1163/898/3398/1032/25906/128866/10217
