ensembl_gene_id	gene_symbol	entrez_id	gene_name	gene_label
ENSG00000175040	CHST2	9435	carbohydrate sulfotransferase 2	CHST2
ENSG00000175048	ZDHHC14	79683	zinc finger DHHC-type palmitoyltransferase 14	ZDHHC14
ENSG00000175054	ATR	545	ATR serine/threonine kinase	ATR
ENSG00000175061	SNHG29	125144	small nucleolar RNA host gene 29	SNHG29
ENSG00000175063	UBE2C	11065	ubiquitin conjugating enzyme E2 C	UBE2C
ENSG00000175066	GK5	256356	glycerol kinase 5	GK5
ENSG00000175073	VCPIP1	80124	valosin containing protein interacting protein 1	VCPIP1
ENSG00000175084	DES	1674	desmin	DES
ENSG00000175087	PDIK1L	149420	PDLIM1 interacting kinase 1 like	PDIK1L
ENSG00000175104	TRAF6	7189	TNF receptor associated factor 6	TRAF6
ENSG00000175105	ZNF654	55279	zinc finger protein 654	ZNF654
ENSG00000175106	TVP23C	201158	trans-golgi network vesicle protein 23 homolog C	TVP23C
ENSG00000175110	MRPS22	56945	mitochondrial ribosomal protein S22	MRPS22
ENSG00000175115	PACS1	55690	phosphofurin acidic cluster sorting protein 1	PACS1
ENSG00000175130	MARCKSL1	65108	MARCKS like 1	MARCKSL1
ENSG00000175137	SH3BP5L	80851	SH3 binding domain protein 5 like	SH3BP5L
ENSG00000175155	YPEL2	388403	yippee like 2	YPEL2
ENSG00000175164	ABO	28	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ABO
ENSG00000175166	PSMD2	5708	proteasome 26S subunit ubiquitin receptor, non-ATPase 2	PSMD2
ENSG00000175182	FAM131A	131408	family with sequence similarity 131 member A	FAM131A
ENSG00000175183	CSRP2	1466	cysteine and glycine rich protein 2	CSRP2
ENSG00000175193	PARL	55486	presenilin associated rhomboid like	PARL
ENSG00000175197	DDIT3	1649	DNA damage inducible transcript 3	DDIT3
ENSG00000175198	PCCA	5095	propionyl-CoA carboxylase subunit alpha	PCCA
ENSG00000175203	DCTN2	10540	dynactin subunit 2	DCTN2
ENSG00000175213	ZNF408	79797	zinc finger protein 408	ZNF408
ENSG00000175215	CTDSP2	10106	CTD small phosphatase 2	CTDSP2
ENSG00000175216	CKAP5	9793	cytoskeleton associated protein 5	CKAP5
ENSG00000175220	ARHGAP1	392	Rho GTPase activating protein 1	ARHGAP1
ENSG00000175221	MED16	10025	mediator complex subunit 16	MED16
ENSG00000175224	ATG13	9776	autophagy related 13	ATG13
ENSG00000175262	C1orf127	148345	chromosome 1 open reading frame 127	C1orf127
ENSG00000175265	GOLGA8A	23015	golgin A8 family member A	GOLGA8A
ENSG00000175274	TP53I11	9537	tumor protein p53 inducible protein 11	TP53I11
ENSG00000175283	DOLK	22845	dolichol kinase	DOLK
ENSG00000175287	PHYHD1	254295	phytanoyl-CoA dioxygenase domain containing 1	PHYHD1
ENSG00000175294	CATSPER1	117144	cation channel sperm associated 1	CATSPER1
ENSG00000175305	CCNE2	9134	cyclin E2	CCNE2
ENSG00000175309	PHYKPL	85007	5-phosphohydroxy-L-lysine phospho-lyase	PHYKPL
ENSG00000175322	ZNF519	162655	zinc finger protein 519	ZNF519
ENSG00000175324	LSM1	27257	LSM1 homolog, mRNA degradation associated	LSM1
ENSG00000175334	BANF1	8815	BAF nuclear assembly factor 1	BANF1
ENSG00000175348	TMEM9B	56674	TMEM9 domain family member B	TMEM9B
ENSG00000175352	NRIP3	56675	nuclear receptor interacting protein 3	NRIP3
ENSG00000175354	PTPN2	5771	protein tyrosine phosphatase non-receptor type 2	PTPN2
ENSG00000175376	EIF1AD	84285	eukaryotic translation initiation factor 1A domain containing	EIF1AD
ENSG00000175387	SMAD2	4087	SMAD family member 2	SMAD2
ENSG00000175390	EIF3F	8665	eukaryotic translation initiation factor 3 subunit F	EIF3F
ENSG00000175395	ZNF25	219749	zinc finger protein 25	ZNF25
ENSG00000175414	ARL10	285598	ADP ribosylation factor like GTPase 10	ARL10
ENSG00000175416	CLTB	1212	clathrin light chain B	CLTB
ENSG00000175445	LPL	4023	lipoprotein lipase	LPL
ENSG00000175449	RFESD	317671	Rieske Fe-S domain containing	RFESD
ENSG00000175455	CCDC14	64770	coiled-coil domain containing 14	CCDC14
ENSG00000175463	TBC1D10C	374403	TBC1 domain family member 10C	TBC1D10C
ENSG00000175467	SART1	9092	spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP	SART1
ENSG00000175470	PPP2R2D	55844	protein phosphatase 2 regulatory subunit Bdelta	PPP2R2D
ENSG00000175471	MCTP1	79772	multiple C2 and transmembrane domain containing 1	MCTP1
ENSG00000175482	POLD4	57804	DNA polymerase delta 4, accessory subunit	POLD4
ENSG00000175489	LRRC25	126364	leucine rich repeat containing 25	LRRC25
ENSG00000175505	CLCF1	23529	cardiotrophin like cytokine factor 1	CLCF1
ENSG00000175514	GPR152	390212	G protein-coupled receptor 152	GPR152
ENSG00000175536	LIPT2	387787	lipoyl(octanoyl) transferase 2	LIPT2
ENSG00000175538	KCNE3	10008	potassium voltage-gated channel subfamily E regulatory subunit 3	KCNE3
ENSG00000175544	CABP4	57010	calcium binding protein 4	CABP4
ENSG00000175548	ALG10B	144245	ALG10 alpha-1,2-glucosyltransferase B	ALG10B
ENSG00000175550	DRAP1	10589	DR1 associated protein 1	DRAP1
ENSG00000175556	LONRF3	79836	LON peptidase N-terminal domain and ring finger 3	LONRF3
ENSG00000175564	UCP3	7352	uncoupling protein 3	UCP3
ENSG00000175567	UCP2	7351	uncoupling protein 2	UCP2
ENSG00000175573	C11orf68	83638	chromosome 11 open reading frame 68	C11orf68
ENSG00000175575	PAAF1	80227	proteasomal ATPase associated factor 1	PAAF1
