gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement
ENSG00000147677	ENSG00000147677	EIF3H	8667	eukaryotic translation initiation factor 3 subunit H	0.10813324048083268	0.15879682219925847	not_significant	0.11042611220091736	6.641496071452036	0.08602616594343707	0.1664503285657072	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000134317	ENSG00000134317	GRHL1	29841	grainyhead like transcription factor 1	0.33690707387370805	0.15883798588604048	not_significant	0.31813906515496293	0.7219050933210438	0.2550295656132345	0.3821378188253567	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000196388	ENSG00000196388	INCA1	388324	inhibitor of CDK, cyclin A1 interacting protein 1	-0.26022217443726203	0.15888927791560994	not_significant	-0.37672606944738274	0.441941250807923	0.0434599603096061	0.09755235570717082	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000166272	ENSG00000166272	CYP17A1-AS1	102724307	CYP17A1 antisense RNA 1	-0.16658659919865954	0.15897473040462778	not_significant	-0.2134252976361939	6.119470066579761	0.04102559726767289	0.09343715324840038	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000185198	ENSG00000185198	PRSS57	400668	serine protease 57	0.3605276471126085	0.15897473040462778	not_significant	0.3469192470588731	1.6397391386897842	0.3601944600011203	0.4929077178945982	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000186496	ENSG00000186496	ZNF396	252884	zinc finger protein 396	-0.2969952929708976	0.15917575762847577	not_significant	-0.3906798515626494	0.45716626066087285	0.08635010815755077	0.16690359350102701	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000224934	ENSG00000224934	GOT1-DT	101927300	GOT1 divergent transcript	-0.2719638910692526	0.159264052359869	not_significant	-0.2948016817903375	0.4646806956452068	0.1596315963397141	0.26848086520043907	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000174721	ENSG00000174721	FGFBP3	143282	fibroblast growth factor binding protein 3	0.18911399787716104	0.15930893133242607	not_significant	0.18313803998336642	1.5160296836666285	0.1596992289064936	0.2684963296308758	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000177688	ENSG00000177688	SUMO4	387082	small ubiquitin like modifier 4	-0.2623388306603187	0.1595646603711618	not_significant	-0.35095105209841404	0.06783733573617155	0.06546672562749242	0.13480999926744655	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000232388	ENSG00000232388	SMIM26	388789	small integral membrane protein 26	0.1822770982494765	0.1595646603711618	not_significant	0.20818781587818913	3.333488560552252	0.07226412187883294	0.14546612983007123	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000239282	ENSG00000239282	CASTOR1	652968	cytosolic arginine sensor for mTORC1 subunit 1	-0.24828691075684448	0.15978940456210636	not_significant	-0.2663121213530961	0.5486178635781395	0.11202400224390176	0.20407473276989854	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
