ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1901992	positive regulation of mitotic cell cycle phase transition	14/635	76/11812	4.5230985485687466e-5	0.0014484770791936554	0.0013304575351705795	RRM2/UBE2C/CDC20/DTL/ESPL1/CDCA5/DLGAP5/CDC6/CDC25A/CCNB1/CDK1/STIL/FBXO5/PBX1	14
GO:0009617	response to bacterium	46/635	467/11812	4.829312486602227e-5	0.0015270162705770774	0.0014025974816586854	IGHG1/RNASE1/JCHAIN/H2BC4/IGHG3/CAV1/H2BC7/IGHA2/H2BC21/H2BC12/IGHA1/H2BC11/FAM20A/SELP/H2BC8/SNCA/LCN2/GATA1/BMP6/PPBP/PF4/PF4V1/S100A8/S100A12/IGKV3-20/S100A9/IGHM/ADM/ELANE/IGHG2/ANG/CXCL5/IGHG4/FCGR1A/RNASE3/EPHB2/USP18/VIL1/FZD5/CAMP/CCDC80/TNFSF4/IFI44/ISG15/MPO/CMPK2	46
GO:0002523	leukocyte migration involved in inflammatory response	6/635	14/11812	4.8827899733666225e-5	0.0015270162705770774	0.0014025974816586854	MDK/S100A8/S100A9/ELANE/FFAR2/JAM3	6
GO:0030174	regulation of DNA-templated DNA replication initiation	6/635	14/11812	4.8827899733666225e-5	0.0015270162705770774	0.0014025974816586854	CDT1/MCM2/TICRR/MCM4/MCM6/GMNN	6
GO:2000241	regulation of reproductive process	17/635	107/11812	5.258036175829116e-5	0.0015952247218092123	0.0014652484198113464	CDC20/PKMYT1/ASPM/TRIP13/CDC25A/PRDX4/TTK/AURKA/RAD51AP1/FBXO5/ITGB3/OXTR/BCL2L1/RETN/PDE5A/GPR3/PDE3A	17
GO:0090231	regulation of spindle checkpoint	7/635	20/11812	5.260296359700625e-5	0.0015952247218092123	0.0014652484198113464	AURKB/BIRC5/CCNB1/CDCA8/KNL1/NDC80/MAD2L1	7
GO:0090266	regulation of mitotic cell cycle spindle assembly checkpoint	7/635	20/11812	5.260296359700625e-5	0.0015952247218092123	0.0014652484198113464	AURKB/BIRC5/CCNB1/CDCA8/KNL1/NDC80/MAD2L1	7
GO:1903504	regulation of mitotic spindle checkpoint	7/635	20/11812	5.260296359700625e-5	0.0015952247218092123	0.0014652484198113464	AURKB/BIRC5/CCNB1/CDCA8/KNL1/NDC80/MAD2L1	7
GO:0051445	regulation of meiotic cell cycle	10/635	42/11812	5.7726721018832065e-5	0.0017374440920179305	0.0015958799882768533	CDC20/PKMYT1/ASPM/TRIP13/CDC25A/TTK/RAD51AP1/FBXO5/GPR3/PDE3A	10
GO:0051383	kinetochore organization	7/635	21/11812	7.526702106533444e-5	0.0022484618307801025	0.0020652608372444085	CENPA/DLGAP5/NUF2/CENPF/CENPE/NDC80/CENPW	7
GO:0034109	homotypic cell-cell adhesion	13/635	70/11812	7.705375026536411e-5	0.002284786387498167	0.002098625728474985	MYL9/MFSD2B/GATA1/MMRN1/PEAR1/GP6/ITGB3/ALOX12/TUBB1/F2RL3/HBB/SLC6A4/SLC7A11	13
GO:0040020	regulation of meiotic nuclear division	6/635	15/11812	7.769189222701076e-5	0.0022867694454759124	0.002100447210131181	CDC20/TRIP13/RAD51AP1/FBXO5/GPR3/PDE3A	6
GO:0051302	regulation of cell division	19/635	132/11812	7.856151414145366e-5	0.002295487161374007	0.0021084546207921447	PLK1/AURKB/BIRC5/ASPM/KIF20A/CDC6/KIF14/CDCA8/KIF18B/E2F7/KIF23/E2F8/AURKA/CIT/MDK/PPBP/TAL1/BCL2L1/PDGFA	19
GO:0090329	regulation of DNA-templated DNA replication	10/635	44/11812	8.831132793320132e-5	0.0025404528126207987	0.0023334608713161055	CDT1/MCM2/TICRR/MCM4/E2F7/E2F8/MCM6/FBXO5/DSCC1/GMNN	10
GO:0000022	mitotic spindle elongation	5/635	10/11812	8.884921153307815e-5	0.0025404528126207987	0.0023334608713161055	AURKB/BIRC5/KIF4A/CDCA8/KIF23	5
GO:0007144	female meiosis I	5/635	10/11812	8.884921153307815e-5	0.0025404528126207987	0.0023334608713161055	CCNB2/TRIP13/NDC80/AURKA/FBXO5	5
GO:0050679	positive regulation of epithelial cell proliferation	18/635	123/11812	9.682193956840971e-5	0.0027487817311513765	0.0025248154902012326	NME1/MYDGF/EGF/EGFL7/MDK/CAV2/BMP6/ITGB3/LAMC1/ECM1/PTPRN/PLXNB3/ANG/GATA2/HLX/CCR3/F3/ACVRL1	18
GO:0031589	cell-substrate adhesion	28/635	241/11812	9.761773888726374e-5	0.002751857808209273	0.002527640933530113	KIF14/GAS6/ITGA2B/MDK/CD63/LIMS1/ITGA1/ITGB5/ITGB3/LAMC1/ARHGAP6/CTTN/ITGA7/FN1/CDKN2A/DOCK1/VWF/EPDR1/ITGA9/JAM3/ITGA2/FMN1/CCDC80/ACER2/CD34/ACVRL1/ITGB8/SIGLEC1	28
GO:0048514	blood vessel morphogenesis	40/635	401/11812	1.1436403486311387e-4	0.003201393227671642	0.0029405489420453205	E2F2/CAV1/E2F7/MYDGF/EGF/E2F8/EGFL7/SPARC/ITGA2B/PPARG/MDK/BRCA1/PF4/ITGB3/MYLK/CALD1/TNFRSF12A/WNT11/ECM1/ADM/MEIS1/FN1/SPHK1/ANG/CLDN5/GATA2/TAL1/EPHB2/JAM3/SPRY2/FZD5/CAMP/PDGFA/CCR3/F3/CD34/ID1/ACVRL1/ITGB8/NOTCH3	40
GO:0034728	nucleosome organization	15/635	93/11812	1.2025112494498063e-4	0.003342814258019149	0.00307044721807615	H1-5/H1-2/MCM2/H1-3/H2BC4/H1-4/H2BC7/H2BC21/ASF1B/H2BC11/H2BC8/H4C8/H3C10/H4C9/H2BC9	15
GO:0048146	positive regulation of fibroblast proliferation	9/635	38/11812	1.4157539045858792e-4	0.003908457158660189	0.0035900024600497103	CCNA2/CDC6/CCNB1/E2F1/GAS6/ITGB3/FN1/SPHK1/PDGFA	9
GO:0007160	cell-matrix adhesion	21/635	161/11812	1.4360181054637932e-4	0.003937246901487373	0.0036164464617051404	ITGA2B/CD63/LIMS1/ITGA1/ITGB5/ITGB3/ARHGAP6/CTTN/ITGA7/FN1/CDKN2A/EPDR1/ITGA9/JAM3/ITGA2/FMN1/ACER2/CD34/ACVRL1/ITGB8/SIGLEC1	21
GO:0048469	cell maturation	17/635	116/11812	1.47506721115708e-4	0.0040167986709263885	0.0036895164830445257	TYMS/TRIP13/KIF14/BHLHA15/TRIM58/PPARG/AURKA/FBXO5/C1QA/BFSP2/ANG/GATA2/TAL1/SLFN14/FZD5/FAM20C/PDE3A	17
