gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement
ENSG00000130821	ENSG00000130821	SLC6A8	6535	solute carrier family 6 member 8	2.4280941029496694	1.6699724930176443e-8	upregulated	1.54226087601492	1.3325590190374113	0.0024640798401777833	0.010436340338928842	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000143546	ENSG00000143546	S100A8	6279	S100 calcium binding protein A8	1.8229645740535296	1.6864914293783562e-8	upregulated	1.5084607965251244	10.810420114399628	2.3336370825637424e-5	2.775668033018684e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000088726	ENSG00000088726	TMEM40	55287	transmembrane protein 40	1.999513629392344	1.759546334755959e-8	upregulated	1.6319364229539808	2.952656127011294	1.5425293589565377e-4	0.0012046641670400754	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000140479	ENSG00000140479	PCSK6	5046	proprotein convertase subtilisin/kexin type 6	2.160093494201886	1.8231763890690724e-8	upregulated	1.5123324839156864	3.0084140617261412	0.0011799879096743477	0.0058341129993781105	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000068137	ENSG00000068137	PLEKHH3	79990	pleckstrin homology, MyTH4 and FERM domain containing H3	1.0980121949585742	1.9548867220498147e-8	upregulated	1.1093462694181855	0.594317657203402	4.647256038584047e-7	1.4861637352255376e-5	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000127920	ENSG00000127920	GNG11	2791	G protein subunit gamma 11	1.678714842065201	1.9963776379995425e-8	upregulated	1.4203558952074742	4.737234384928373	6.745389001627528e-5	6.356074326563972e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000186193	ENSG00000186193	SAPCD2	89958	suppressor APC domain containing 2	1.556506482775834	2.1105179044765056e-8	upregulated	1.3936919130460144	2.771109948328948	2.1671055833817112e-5	2.6116400620241134e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000170271	ENSG00000170271	FAXDC2	10826	fatty acid hydroxylase domain containing 2	1.895321101182093	2.1457048155107985e-8	upregulated	1.3963398347728013	4.311677524815558	7.394575381021676e-4	0.004044071373753392	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000065534	ENSG00000065534	MYLK	4638	myosin light chain kinase	1.9766832701838473	2.343170838774925e-8	upregulated	1.4856939793232526	4.329415749306827	2.3665356084385397e-4	0.001667649581412165	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000133069	ENSG00000133069	TMCC2	9911	transmembrane and coiled-coil domain family 2	1.9220028175363644	2.494934876488543e-8	upregulated	1.4342951997997342	3.3149103066094803	0.0016903091084188996	0.007754124303926984	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000243264	ENSG00000243264	IGKV2D-29	28882	immunoglobulin kappa variable 2D-29	4.36766608120815	2.6224595715849866e-8	upregulated	2.9936761800074385	2.0388405569475587	0.002154777428971965	0.009438083355566144	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000274576	ENSG00000274576	IGHV2-70	28454	immunoglobulin heavy variable 2-70	3.722800212502372	2.6224595715849866e-8	upregulated	2.7079906264772804	1.3058406968504688	0.017227929091324992	0.04753694719915507	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000175643	ENSG00000175643	RMI2	116028	RecQ mediated genome instability 2	1.2256429357222165	2.6224595715849866e-8	upregulated	1.1077075214935461	2.1499961339423868	2.5187891818338458e-5	2.9554693867180927e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000211639	ENSG00000211639	IGLV4-60	28785	immunoglobulin lambda variable 4-60	2.6689056131202387	2.6450971540159436e-8	upregulated	2.90259265495786	1.859060784841659	1.7095820791355006e-5	2.2041245259677152e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
