ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-201722	Formation of the beta-catenin:TCF transactivating complex	14/409	54/7708	5.184569105230201e-7	6.755416162486517e-6	5.2782416028109515e-6	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-68962	Activation of the pre-replicative complex	11/409	33/7708	5.505765366828952e-7	7.068431125355404e-6	5.5228110800389485e-6	CDT1/MCM10/CDC45/CDC6/MCM2/ORC1/MCM4/POLE2/MCM6/ORC6/GMNN	11
R-HSA-1500620	Meiosis	16/409	71/7708	6.379261947078165e-7	8.071153159129332e-6	6.306272679949125e-6	RAD51/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/BRCA1/H2AC8/H4C9/H2BC9/H2BC5	16
R-HSA-9609690	HCMV Early Events	18/409	90/7708	8.448791194442497e-7	1.0536849589640429e-5	8.23280705864472e-6	H2BC4/H2AC12/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/H3C10/H2AC6/H2AC11/H2AC8/H4C9/H2BC9/H2BC5/TUBA1C/TUBB1/H2AC16	18
R-HSA-1912422	Pre-NOTCH Expression and Processing	16/409	73/7708	9.52270124947943e-7	1.1708898860275411e-5	9.148569917958e-6	E2F1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/NOTCH3	16
R-HSA-73772	RNA Polymerase I Promoter Escape	14/409	57/7708	1.0617465208222828e-6	1.2873676564970179e-5	1.0058651249895311e-5	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-5250924	B-WICH complex positively regulates rRNA expression	14/409	58/7708	1.3329022234232241e-6	1.5940049877376365e-5	1.2454515368107415e-5	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-69473	G2/M DNA damage checkpoint	16/409	75/7708	1.400170358115904e-6	1.630618780359907e-5	1.2740591664233676e-5	CCNB1/EXO1/CDK1/H2BC4/H2BC7/CHEK1/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/BRCA1/H4C9/H2BC9/H2BC5/RMI2	16
R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	18/409	93/7708	1.4008752408590265e-6	1.630618780359907e-5	1.2740591664233676e-5	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/TP73/H2BC8/H4C8/GATA1/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/GATA2/TAL1	18
R-HSA-176187	Activation of ATR in response to replication stress	11/409	36/7708	1.4787815120695098e-6	1.6986529737324762e-5	1.3272166479515824e-5	MCM10/CLSPN/CDC45/CDC6/CDC25A/MCM2/ORC1/MCM4/CHEK1/MCM6/ORC6	11
R-HSA-9816359	Maternal to zygotic transition (MZT)	15/409	67/7708	1.567467719620418e-6	1.7771419730241882e-5	1.3885428329651824e-5	UHRF1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	15
R-HSA-157579	Telomere Maintenance	17/409	85/7708	1.7084811738238446e-6	1.912184698395149e-5	1.4940564111172085e-5	CCNA2/H2BC4/PIF1/H2BC7/FEN1/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/DSCC1/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	17
R-HSA-5693532	DNA Double-Strand Break Repair	23/409	144/7708	1.7326262755102614e-6	1.914661694329694e-5	1.4959917741914053e-5	CCNA2/CLSPN/RAD51/POLQ/EXO1/H2BC4/H2BC7/FEN1/CHEK1/POLE2/H2BC21/H2BC12/H2BC11/RAD51AP1/H2BC8/H4C8/BRCA1/H4C9/H2BC9/H2BC5/RMI2/EME1/XRCC2	23
R-HSA-977225	Amyloid fiber formation	14/409	60/7708	2.067506104860943e-6	2.245896893803256e-5	1.7547973559830107e-5	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/SNCA/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-216083	Integrin cell surface interactions	13/409	52/7708	2.083821860229825e-6	2.245896893803256e-5	1.7547973559830107e-5	ITGA2B/ITGA1/ITGB5/ITGB3/ITGA7/COL23A1/FN1/VWF/ITGA9/JAM3/ITGA2/FBN1/ITGB8	13
R-HSA-9610379	HCMV Late Events	16/409	78/7708	2.431301791624166e-6	2.5884469074242646e-5	2.0224435956000766e-5	H2BC4/H2AC12/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/H3C10/H2AC6/H2AC11/H2AC8/H4C9/H2BC9/H2BC5/H2AC16	16
R-HSA-5693607	Processing of DNA double-strand break ends	16/409	79/7708	2.9029633492276705e-6	3.053357835994887e-5	2.3856946738104386e-5	CCNA2/CLSPN/EXO1/H2BC4/H2BC7/CHEK1/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/BRCA1/H4C9/H2BC9/H2BC5/RMI2	16
