source	direction	pathway_id	pathway	adjusted_pvalue	gene_ratio	gene_count	leading_genes
GO Biological Process	downregulated	GO:0042330	taxis	0.008727338624217158	10/77	10	KLRC4-KLRK1/SEMA4C/GPR18/IL23A/CCRL2/CXCR4/IL1B/CCL4/CCL20/TNFAIP6
GO Biological Process	downregulated	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	0.008727338624217158	3/77	3	IL23R/IL23A/IL1B
KEGG	upregulated	hsa04814	Motor proteins	0.008792267458584685	18/317	18	24137/10112/11004/3833/3832/56992/9928/146909/1062/10398/140465/9493/1769/7138/84790/81027/7125/4645
GO Biological Process	downregulated	GO:0032604	granulocyte macrophage colony-stimulating factor production	0.00895784294953333	3/77	3	IL23R/IL23A/IL1B
GO Biological Process	downregulated	GO:0032645	regulation of granulocyte macrophage colony-stimulating factor production	0.00895784294953333	3/77	3	IL23R/IL23A/IL1B
GO Biological Process	downregulated	GO:0050920	regulation of chemotaxis	0.011298149853349915	7/77	7	KLRC4-KLRK1/SEMA4C/GPR18/IL23A/CXCR4/CCL4/TNFAIP6
GO Biological Process	downregulated	GO:0002686	negative regulation of leukocyte migration	0.011298149853349915	4/77	4	KLRC4-KLRK1/CD200R1/GPR18/TNFAIP6
KEGG	downregulated	hsa05321	Inflammatory bowel disease	0.013603598227522206	4/35	4	149233/51561/8807/3553
Reactome	downregulated	R-HSA-418594	G alpha (i) signalling events	0.014165374356164398	6/50	6	GPR18/HCAR2/HCAR3/CXCR4/CCL4/CCL20
KEGG	downregulated	hsa04061	Viral protein interaction with cytokine and cytokine receptor	0.0214355910041878	4/35	4	8807/7852/6351/6364
Reactome	downregulated	R-HSA-388396	GPCR downstream signalling	0.024695068725473175	8/50	8	CYSLTR2/GPR132/GPR18/HCAR2/HCAR3/CXCR4/CCL4/CCL20
Reactome	downregulated	R-HSA-375276	Peptide ligand-binding receptors	0.028266647590722987	4/50	4	CCRL2/CXCR4/CCL4/CCL20
Reactome	downregulated	R-HSA-6783783	Interleukin-10 signaling	0.031368964353277136	3/50	3	IL1B/CCL4/CCL20
