gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement	deseq2_top100	limma_top100
ENSG00000148773	ENSG00000148773	MKI67	4288	marker of proliferation Ki-67	3.0556456425091083	5.052337849820699e-36	upregulated	2.9698864324656578	4.293176044551795	2.2492363490861414e-11	2.32571038495507e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000211950	ENSG00000211950	IGHV1-24	28467	immunoglobulin heavy variable 1-24	5.68770297323546	5.959025203140327e-36	upregulated	5.170053219711732	3.8981952597503913	1.6189927749684885e-8	1.216547465473544e-6	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	FALSE
ENSG00000089685	ENSG00000089685	BIRC5	332	baculoviral IAP repeat containing 5	3.72383779373672	8.654640064362069e-36	upregulated	3.5415818978300937	2.675992467903897	7.108730171202033e-9	6.60217993744572e-7	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	FALSE
ENSG00000090889	ENSG00000090889	KIF4A	24137	kinesin family member 4A	3.4043558516809695	9.485546435631372e-36	upregulated	3.3783097180573214	0.7220928699892424	5.333058926315956e-11	3.269185012964971e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000171241	ENSG00000171241	SHCBP1	79801	SHC binding and spindle associated 1	3.1003162278913727	1.171820925358136e-35	upregulated	2.961242880840051	2.7587765487378753	1.2761069633792065e-10	5.072783689515512e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000143476	ENSG00000143476	DTL	51514	denticleless E3 ubiquitin protein ligase homolog	3.0529536933052928	7.743878552839589e-35	upregulated	2.927426808688043	2.3037907850045984	8.209475418255772e-11	4.244298791238234e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000170476	ENSG00000170476	MZB1	51237	marginal zone B and B1 cell specific protein	3.546154084076947	7.743878552839589e-35	upregulated	3.4246422854565663	5.741866219942334	1.6919273288586467e-11	2.186816072549801e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000066279	ENSG00000066279	ASPM	259266	assembly factor for spindle microtubules	2.865410893390832	9.863181775610507e-35	upregulated	2.7851108147719015	1.6743419475391685	4.907392944697507e-12	1.1219334428123542e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000224373	ENSG00000224373	IGHV4-59	28392	immunoglobulin heavy variable 4-59	3.685441520881347	1.1051136077710886e-34	upregulated	3.606143469351423	4.843860358535107	1.2236924607128381e-9	1.9171181884501128e-7	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000169679	ENSG00000169679	BUB1	699	BUB1 mitotic checkpoint serine/threonine kinase	3.0137780703388537	1.021986592699296e-33	upregulated	2.863605794086071	3.0388702451259095	2.701835235334511e-10	7.107309091180804e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000276043	ENSG00000276043	UHRF1	29128	ubiquitin like with PHD and ring finger domains 1	2.7008141607451144	2.1675421835647475e-33	upregulated	2.519945690856971	3.167235618421468	1.5960318042726944e-10	5.304493265277572e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000184357	ENSG00000184357	H1-5	3009	H1.5 linker histone, cluster member	3.1573263085380323	2.102584770111859e-32	upregulated	2.9815806780971	1.2078903708672495	1.3710083282525484e-10	5.072783689515512e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
