gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	significant
ENSG00000100336	ENSG00000100336	APOL4	80832	apolipoprotein L4	26.54157747551508	-0.4173336757567028	0.38093079447112355	0.06294137765687595	0.12737744878107332	not_significant
ENSG00000156502	ENSG00000156502	SUPV3L1	6832	Suv3 like RNA helicase	476.1675416319629	-0.2173763170407538	0.126220540712319	0.06299615738506274	0.12747167658738726	not_significant
ENSG00000164080	ENSG00000164080	RAD54L2	23132	RAD54 like 2	1213.3849449362938	-0.1349360491007477	0.07447228965909376	0.06303303684553782	0.1275296636413112	not_significant
ENSG00000014257	ENSG00000014257	ACP3	55	acid phosphatase 3	550.3147270075829	0.30612603120733595	0.19619708931723048	0.06306006671716623	0.127567710288672	not_significant
ENSG00000162961	ENSG00000162961	DPY30	84661	dpy-30 histone methyltransferase complex regulatory subunit	435.1110524563516	0.162996041413069	0.091047978964142	0.06307039600568044	0.12757196688159933	not_significant
ENSG00000172673	ENSG00000172673	THEMIS	387357	thymocyte selection associated	1141.3613206716552	-0.31427737067380823	0.20137747682511753	0.06313442944348874	0.12768483513737258	not_significant
ENSG00000126602	ENSG00000126602	TRAP1	10131	TNF receptor associated protein 1	495.7522531376202	0.14264561934414427	0.07892482414902595	0.06315355337926384	0.12770685957136663	not_significant
ENSG00000259826	ENSG00000259826	CDK13-DT	112267983	CDK13 divergent transcript	23.800228540139155	0.3108246713271346	0.20123494981948348	0.06320525140985132	0.12779473984705958	not_significant
ENSG00000183530	ENSG00000183530	PRR14L	253143	proline rich 14 like	1041.415544378546	-0.12154331702706174	0.06715231082876436	0.06332531479379194	0.12802080714959763	not_significant
ENSG00000105088	ENSG00000105088	OLFM2	93145	olfactomedin 2	54.4659087849465	-0.3705973119894906	0.27367742216212726	0.06340889177926103	0.12817306288235877	not_significant
ENSG00000090339	ENSG00000090339	ICAM1	3383	intercellular adhesion molecule 1	2534.480861880588	-0.369261608147172	0.2722222174863262	0.06343016689928607	0.12819935999582058	not_significant
ENSG00000243364	ENSG00000243364	EFNA4	1945	ephrin A4	49.066815969743175	-0.2523270683522901	0.15167549656882076	0.0634654022404395	0.1282538617262823	not_significant
ENSG00000040608	ENSG00000040608	RTN4R	65078	reticulon 4 receptor	50.39001581345425	-0.3085477948842222	0.1997146697191457	0.06352368149110119	0.12835491140268102	not_significant
ENSG00000068878	ENSG00000068878	PSME4	23198	proteasome activator subunit 4	321.58736964287925	0.1722653421725031	0.09691362792672716	0.06355632907713885	0.12840415057788504	not_significant
ENSG00000159479	ENSG00000159479	MED8	112950	mediator complex subunit 8	590.1736202468427	0.2070705497496597	0.11927170575049403	0.0636753957925307	0.12862794852072823	not_significant
ENSG00000115875	ENSG00000115875	SRSF7	6432	serine and arginine rich splicing factor 7	7898.78417415127	-0.23229291068169375	0.1329793156486753	0.06370781561397512	0.1286766792776083	not_significant
ENSG00000117020	ENSG00000117020	AKT3	10000	AKT serine/threonine kinase 3	125.403472366332	-0.23015624967847695	0.13562428062949122	0.0638234043830521	0.1288933596329607	not_significant
ENSG00000174996	ENSG00000174996	KLC2	64837	kinesin light chain 2	230.4744200711591	-0.20669747681407377	0.11944582505420438	0.06384110430992025	0.12891231973009545	not_significant
ENSG00000168255	ENSG00000168255	POLR2J3-UPK3BL2	123258399	POLR2J3-UPK3BL2 readthrough	27.63942722117421	0.3990169664361763	0.3272304737815494	0.06390714570457623	0.12901208250396684	not_significant
ENSG00000151743	ENSG00000151743	AMN1	196394	antagonist of mitotic exit network 1 homolog	85.39582346942301	-0.21046792321594135	0.1219746731807005	0.06390458967056703	0.12901208250396684	not_significant
ENSG00000108306	ENSG00000108306	FBXL20	84961	F-box and leucine rich repeat protein 20	388.3230197668435	-0.1348026016288972	0.07470255289626433	0.06393841047413062	0.12905840011110958	not_significant
ENSG00000272870	ENSG00000272870	SAP30-DT	105377540	SAP30 divergent transcript	22.46215231993266	0.3265923744415517	0.21856050428476057	0.06401362582724242	0.12919340749258684	not_significant
ENSG00000127616	ENSG00000127616	SMARCA4	6597	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	2014.5433362679996	0.11527653611558852	0.06337096753735606	0.06410782580575544	0.1293666898578281	not_significant
ENSG00000101464	ENSG00000101464	PIGU	128869	phosphatidylinositol glycan anchor biosynthesis class U	271.0491305224702	0.11425368909340246	0.06273944009883013	0.06411849412962918	0.12937138596989056	not_significant
